year,race,country,circuit,1stPlace,2ndPlace,3rdPlace
1969,Canadian Grand Prix,Canada,Mosport International Raceway,235,356,358
1969,United-States Grand Prix,USA,Watkins Glen,358,361,341
1969,Mexican Grand Prix,Mexico,Autódromo Hermanos Rodríguez,304,235,356
1968,South African Grand Prix,South Africa,Kyalami,373,289,358
1968,Spanish Grand Prix,Spain,Jarama,289,304,312
1968,Monaco Grand Prix,Monaco,Circuit de Monaco,289,370,376
1968,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,360,345,235
1968,Dutch Grand Prix,Netherlands,Circuit Park Zandvoort,328,306,345
1968,French Grand Prix,France,Rouen-Les-Essarts,235,341,328
1968,British Grand Prix,UK,Brands Hatch,346,278,235
1968,German Grand Prix,Germany,Nürburgring,328,289,358
1968,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,304,359,235
1968,Canadian Grand Prix,Canada,Circuit Mont-Tremblant,304,360,345
1968,United-States Grand Prix,USA,Watkins Glen,328,289,341
1968,Mexican Grand Prix,Mexico,Autódromo Hermanos Rodríguez,289,360,262
1967,South African Grand Prix,South Africa,Kyalami,345,340,341
1967,Monaco Grand Prix,Monaco,Circuit de Monaco,304,289,278
1967,Dutch Grand Prix,Netherlands,Circuit Park Zandvoort,373,356,304
1967,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,364,328,278
1967,French Grand Prix,France,Le Mans,356,304,328
1967,British Grand Prix,UK,Silverstone Circuit,373,304,278
1967,German Grand Prix,Germany,Nürburgring,304,356,278
1967,Canadian Grand Prix,Canada,Mosport International Raceway,356,304,364
1967,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,341,356,373
1967,United-States Grand Prix,USA,Watkins Glen,373,289,304
1967,Mexican Grand Prix,Mexico,Autódromo Hermanos Rodríguez,373,356,304
1966,Monaco Grand Prix,Monaco,Circuit de Monaco,328,385,289
1966,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,341,358,385
1966,French Grand Prix,France,Reims-Gueux,356,387,304
1966,British Grand Prix,UK,Brands Hatch,356,304,289
1966,Dutch Grand Prix,Netherlands,Circuit Park Zandvoort,356,289,373
1966,German Grand Prix,Germany,Nürburgring,356,341,358
1966,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,375,387,304
1966,United-States Grand Prix,USA,Watkins Glen,373,358,341
1966,Mexican Grand Prix,Mexico,Autódromo Hermanos Rodríguez,341,356,304
1965,South African Grand Prix,South Africa,Prince George Circuit,373,341,289
1965,Monaco Grand Prix,Monaco,Circuit de Monaco,289,385,328
1965,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,373,328,360
1965,French Grand Prix,France,Charade Circuit,373,328,341
1965,British Grand Prix,UK,Silverstone Circuit,373,289,341
1965,Dutch Grand Prix,Netherlands,Circuit Park Zandvoort,373,328,364
1965,German Grand Prix,Germany,Nürburgring,373,289,364
1965,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,328,289,364
1965,United-States Grand Prix,USA,Watkins Glen,289,364,356
1965,Mexican Grand Prix,Mexico,Autódromo Hermanos Rodríguez,386,364,374
1964,Monaco Grand Prix,Monaco,Circuit de Monaco,289,386,397
1964,Dutch Grand Prix,Netherlands,Circuit Park Zandvoort,373,341,397
1964,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,373,360,356
1964,French Grand Prix,France,Rouen-Les-Essarts,364,289,356
1964,British Grand Prix,UK,Brands Hatch,373,289,341
1964,German Grand Prix,Germany,Nürburgring,341,289,385
1964,Austrian Grand Prix,Austria,Zeltweg,385,386,383
1964,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,341,360,385
1964,United-States Grand Prix,USA,Watkins Glen,289,341,346
1964,Mexican Grand Prix,Mexico,Autódromo Hermanos Rodríguez,364,341,385
1963,Monaco Grand Prix,Monaco,Circuit de Monaco,289,386,360
1963,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,373,360,364
1963,Dutch Grand Prix,Netherlands,Circuit Park Zandvoort,373,364,341
1963,French Grand Prix,France,Reims-Gueux,373,408,289
1963,British Grand Prix,UK,Silverstone Circuit,373,341,289
1963,German Grand Prix,Germany,Nürburgring,341,373,386
1963,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,373,386,360
1963,United-States Grand Prix,USA,Watkins Glen,289,386,373
1963,Mexican Grand Prix,Mexico,Autódromo Hermanos Rodríguez,373,356,386
1963,South African Grand Prix,South Africa,Prince George Circuit,373,364,289
1962,Dutch Grand Prix,Netherlands,Circuit Park Zandvoort,289,401,403
1962,Monaco Grand Prix,Monaco,Circuit de Monaco,360,403,385
1962,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,373,289,403
1962,French Grand Prix,France,Rouen-Les-Essarts,364,408,386
1962,British Grand Prix,UK,Aintree,373,341,360
1962,German Grand Prix,Germany,Nürburgring,289,341,364
1962,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,289,386,360
1962,United-States Grand Prix,USA,Watkins Glen,373,289,360
1962,South African Grand Prix,South Africa,Prince George Circuit,289,360,408
1961,Monaco Grand Prix,Monaco,Circuit de Monaco,475,386,403
1961,Dutch Grand Prix,Netherlands,Circuit Park Zandvoort,476,403,373
1961,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,403,476,386
1961,French Grand Prix,France,Reims-Gueux,394,364,373
1961,British Grand Prix,UK,Aintree,476,403,386
1961,German Grand Prix,Germany,Nürburgring,475,476,403
1961,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,403,364,360
1961,United-States Grand Prix,USA,Watkins Glen,404,364,479
1960,Argentine Grand Prix,Argentina,Autódromo Juan y Oscar Gálvez,360,477,475
1960,Monaco Grand Prix,Monaco,Circuit de Monaco,475,360,403
1960,Indianapolis 500,USA,Indianapolis Motor Speedway,509,449,510
1960,Dutch Grand Prix,Netherlands,Circuit Park Zandvoort,356,404,289
1960,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,356,360,482
1960,French Grand Prix,France,Reims-Gueux,356,482,360
1960,British Grand Prix,UK,Silverstone Circuit,356,341,404
1960,Portuguese Grand Prix,Portugal,Circuito da Boavista,356,360,373
1960,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,403,386,435
1960,United-States Grand Prix,USA,Riverside International Raceway,475,404,360
1959,Monaco Grand Prix,Monaco,Circuit de Monaco,356,479,427
1959,Indianapolis 500,USA,Indianapolis Motor Speedway,449,509,512
1959,Dutch Grand Prix,Netherlands,Circuit Park Zandvoort,347,356,418
1959,French Grand Prix,France,Reims-Gueux,479,403,356
1959,British Grand Prix,UK,Aintree,356,475,360
1959,German Grand Prix,Germany,AVUS,479,364,403
1959,Portuguese Grand Prix,Portugal,Monsanto Park Circuit,475,418,364
1959,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,475,403,356
1959,United-States Grand Prix,USA,Sebring International Raceway,360,427,479
1958,Argentine Grand Prix,Argentina,Autódromo Juan y Oscar Gálvez,475,577,578
1958,Monaco Grand Prix,Monaco,Circuit de Monaco,427,577,581
1958,Dutch Grand Prix,Netherlands,Circuit Park Zandvoort,475,501,554
1958,Indianapolis 500,USA,Indianapolis Motor Speedway,525,591,533
1958,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,479,578,590
1958,French Grand Prix,France,Reims-Gueux,578,475,476
1958,British Grand Prix,UK,Silverstone Circuit,581,578,456
1958,German Grand Prix,Germany,Nürburgring,479,456,427
1958,Portuguese Grand Prix,Portugal,Circuito da Boavista,475,578,590
1958,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,479,578,403
1958,Moroccan Grand Prix,Morocco,Ain Diab,475,578,403
1957,Argentine Grand Prix,Argentina,Autódromo Juan y Oscar Gálvez,579,554,496
1957,Monaco Grand Prix,Monaco,Circuit de Monaco,579,479,418
1957,Indianapolis 500,USA,Indianapolis Motor Speedway,611,509,525
1957,French Grand Prix,France,Rouen-Les-Essarts,579,577,581
1957,British Grand Prix,UK,Aintree,475,577,578
1957,German Grand Prix,Germany,Nürburgring,579,578,581
1957,Pescara Grand Prix,Italy,Pescara Circuit,475,579,501
1957,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,475,579,476
1956,Argentine Grand Prix,Argentina,Autódromo Juan y Oscar Gálvez,579,554,578
1956,Monaco Grand Prix,Monaco,Circuit de Monaco,475,579,554
1956,Indianapolis 500,USA,Indianapolis Motor Speedway,559,611,528
1956,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,581,632,475
1956,French Grand Prix,France,Reims-Gueux,581,608,554
1956,British Grand Prix,UK,Silverstone Circuit,579,581,554
1956,German Grand Prix,Germany,Nürburgring,579,475,554
1956,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,475,579,541
1955,Argentine Grand Prix,Argentina,Autódromo Juan y Oscar Gálvez,579,427,620
1955,Monaco Grand Prix,Monaco,Circuit de Monaco,427,608,607
1955,Indianapolis 500,USA,Indianapolis Motor Speedway,628,555,653
1955,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,579,475,642
1955,Dutch Grand Prix,Netherlands,Circuit Park Zandvoort,579,475,577
1955,British Grand Prix,UK,Aintree,475,579,648
1955,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,579,641,608
1954,Argentine Grand Prix,Argentina,Autódromo Juan y Oscar Gálvez,579,642,498
1954,Indianapolis 500,USA,Indianapolis Motor Speedway,657,525,658
1954,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,579,427,475
1954,French Grand Prix,France,Reims-Gueux,579,648,626
1954,British Grand Prix,UK,Silverstone Circuit,498,578,670
1954,German Grand Prix,Germany,Nürburgring,579,578,427
1954,Swiss Grand Prix,Switzerland,Circuit Bremgarten,579,498,478
1954,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,579,578,498
1954,Spanish Grand Prix,Spain,Circuit de Pedralbes,578,577,579
1953,Argentine Grand Prix,Argentina,Autódromo Juan y Oscar Gálvez,647,633,498
1953,Indianapolis 500,USA,Indianapolis Motor Speedway,657,656,518
1953,Dutch Grand Prix,Netherlands,Circuit Park Zandvoort,647,642,498
1953,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,647,633,670
1953,French Grand Prix,France,Reims-Gueux,578,579,498
1953,British Grand Prix,UK,Silverstone Circuit,647,579,642
1953,German Grand Prix,Germany,Nürburgring,642,579,578
1953,Swiss Grand Prix,Switzerland,Circuit Bremgarten,647,642,578
1953,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,579,642,633
1952,Swiss Grand Prix,Switzerland,Circuit Bremgarten,641,723,554
1952,Indianapolis 500,USA,Indianapolis Motor Speedway,526,509,611
1952,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,647,642,626
1952,French Grand Prix,France,Rouen-Les-Essarts,647,642,641
1952,British Grand Prix,UK,Silverstone Circuit,647,641,578
1952,German Grand Prix,Germany,Nürburgring,647,642,723
1952,Dutch Grand Prix,Netherlands,Circuit Park Zandvoort,647,642,633
1952,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,647,498,633
1951,Swiss Grand Prix,Switzerland,Circuit Bremgarten,579,641,642
1951,Indianapolis 500,USA,Indianapolis Motor Speedway,766,673,675
1951,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,642,647,633
1951,French Grand Prix,France,Reims-Gueux,579,498,633
1951,British Grand Prix,UK,Silverstone Circuit,498,579,633
1951,German Grand Prix,Germany,Nürburgring,647,579,498
1951,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,647,498,642
1951,Spanish Grand Prix,Spain,Circuit de Pedralbes,579,498,642
1950,British Grand Prix,UK,Silverstone Circuit,642,786,686
1950,Monaco Grand Prix,Monaco,Circuit de Monaco,579,647,589
1950,Indianapolis 500,USA,Indianapolis Motor Speedway,593,701,768
1950,Swiss Grand Prix,Switzerland,Circuit Bremgarten,642,786,627
1950,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,579,786,627
1950,French Grand Prix,France,Reims-Gueux,579,786,687
1950,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,642,647,786
2011,Australian Grand Prix,Australia,Albert-Park,20,1,808
2011,Malaysian Grand Prix,Malaysia,Sepang,20,18,2
2011,Chinese Grand Prix,China,Shanghai,1,20,17
2011,Turkish Grand Prix,Turkey,Istanbul-Park,20,17,4
2011,Spanish Grand Prix,Spain,Circuit de Barcelona-Catalunya,20,1,18
2011,Monaco Grand Prix,Monaco,Circuit de Monaco,20,4,18
2011,Canadian Grand Prix,Canada,Circuit Gilles Villeneuve,18,20,17
2011,European Grand Prix,Spain,Valencia Street Circuit,20,4,17
2011,British Grand Prix,UK,Silverstone Circuit,4,20,17
2011,German Grand Prix,Germany,Nürburgring,1,4,17
2011,Hungarian Grand Prix,Hungary,Hungaroring,18,20,4
2011,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,20,17,18
2011,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,20,18,4
2011,Singapore Grand Prix,Singapore,Marina Bay Street Circuit,20,18,17
2011,Japanese Grand Prix,Japan,Suzuka Circuit,18,4,20
2011,Korean Grand Prix,Korea,Korean International Circuit,20,1,17
2011,Indian Grand Prix,India,Buddh International Circuit,20,18,4
2011,Abu-Dhabi Grand Prix,UAE,Yas Marina Circuit,1,4,18
2011,Brazilian Grand Prix,Brazil,Autódromo José Carlos Pace,17,20,18
2012,Australian Grand Prix,Australia,Albert-Park,18,20,1
2012,Malaysian Grand Prix,Malaysia,Sepang,4,815,1
2012,Chinese Grand Prix,China,Shanghai,3,18,1
2012,Bahrain Grand Prix,Bahrain,Bahrain,20,8,154
2012,Spanish Grand Prix,Spain,Circuit de Barcelona-Catalunya,813,4,8
2012,Monaco Grand Prix,Monaco,Circuit de Monaco,17,3,4
2012,Canadian Grand Prix,Canada,Circuit Gilles Villeneuve,1,154,815
2012,European Grand Prix,Spain,Valencia Street Circuit,4,8,30
2012,British Grand Prix,UK,Silverstone Circuit,17,4,20
2012,German Grand Prix,Germany,Hockenheimring,4,18,8
2012,Hungarian Grand Prix,Hungary,Hungaroring,1,8,154
2012,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,18,20,8
2012,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,1,815,4
2012,Singapore Grand Prix,Singapore,Marina Bay Street Circuit,20,18,4
2012,Japanese Grand Prix,Japan,Suzuka Circuit,20,13,155
2012,Korean Grand Prix,Korea,Korean International Circuit,20,17,4
2012,Indian Grand Prix,India,Buddh International Circuit,20,4,17
2012,Abu-Dhabi Grand Prix,UAE,Yas Marina Circuit,8,4,20
2012,United-States Grand Prix,USA,Circuit of the Americas,1,20,4
2012,Brazilian Grand Prix,Brazil,Autódromo José Carlos Pace,18,4,13
2013,Australian Grand Prix,Australia,Albert-Park,8,4,20
2013,Malaysian Grand Prix,Malaysia,Sepang,20,17,1
2013,Chinese Grand Prix,China,Shanghai,4,8,1
2013,Bahrain Grand Prix,Bahrain,Bahrain,20,8,154
2013,Spanish Grand Prix,Spain,Circuit de Barcelona-Catalunya,4,8,13
2013,Monaco Grand Prix,Monaco,Circuit de Monaco,3,20,17
2013,Canadian Grand Prix,Canada,Circuit Gilles Villeneuve,20,4,1
2013,British Grand Prix,UK,Silverstone Circuit,3,17,4
2013,German Grand Prix,Germany,Nürburgring,20,8,154
2013,Hungarian Grand Prix,Hungary,Hungaroring,1,8,20
2013,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,20,4,1
2013,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,20,4,17
2013,Singapore Grand Prix,Singapore,Marina Bay Street Circuit,20,4,8
2013,Korean Grand Prix,Korea,Korean International Circuit,20,8,154
2013,Japanese Grand Prix,Japan,Suzuka Circuit,20,17,154
2013,Indian Grand Prix,India,Buddh International Circuit,20,3,154
2013,Abu-Dhabi Grand Prix,UAE,Yas Marina Circuit,20,17,3
2013,United-States Grand Prix,USA,Circuit of the Americas,20,154,17
2013,Brazilian Grand Prix,Brazil,Autódromo José Carlos Pace,20,17,4
2014,Australian Grand Prix,Australia,Albert-Park,3,825,18
2014,Malaysian Grand Prix,Malaysia,Sepang,1,3,20
2014,Bahrain Grand Prix,Bahrain,Bahrain,1,3,815
2014,Chinese Grand Prix,China,Shanghai,1,3,4
2014,Spanish Grand Prix,Spain,Circuit de Barcelona-Catalunya,1,3,817
2014,Monaco Grand Prix,Monaco,Circuit de Monaco,3,1,817
2014,Canadian Grand Prix,Canada,Circuit Gilles Villeneuve,817,3,20
2014,Austrian Grand Prix,Austria,Red Bull Ring,3,1,822
2014,British Grand Prix,UK,Silverstone Circuit,1,822,817
2014,German Grand Prix,Germany,Hockenheimring,3,822,1
2014,Hungarian Grand Prix,Hungary,Hungaroring,817,4,1
2014,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,817,3,822
2014,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,1,3,13
2014,Singapore Grand Prix,Singapore,Marina Bay Street Circuit,1,20,817
2014,Japanese Grand Prix,Japan,Suzuka Circuit,1,3,20
2014,Russian Grand Prix,Russia,Sochi Autodrom,1,3,822
2014,United-States Grand Prix,USA,Circuit of the Americas,1,3,817
2014,Brazilian Grand Prix,Brazil,Autódromo José Carlos Pace,3,1,13
2014,Abu-Dhabi Grand Prix,UAE,Yas Marina Circuit,1,13,822
2015,Monaco Grand Prix,Monaco,Circuit de Monaco,3,20,1
2015,Canadian Grand Prix,Canada,Circuit Gilles Villeneuve,1,3,822
2015,Bahrain Grand Prix,Bahrain,Bahrain,1,8,3
2015,Spanish Grand Prix,Spain,Circuit de Barcelona-Catalunya,3,1,20
2015,Chinese Grand Prix,China,Shanghai,1,3,20
2015,Australian Grand Prix,Australia,Albert-Park,1,3,20
2015,Malaysian Grand Prix,Malaysia,Sepang,20,1,3
2015,Austrian Grand Prix,Austria,Red Bull Ring,3,1,13
2015,British Grand Prix,UK,Silverstone Circuit,1,3,20
2015,Hungarian Grand Prix,Hungary,Hungaroring,20,826,817
2015,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,1,3,154
2015,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,1,20,13
2015,Singapore Grand Prix,Singapore,Marina Bay Street Circuit,20,817,8
2015,Japanese Grand Prix,Japan,Suzuka Circuit,1,3,20
2015,Russian Grand Prix,Russia,Sochi Autodrom,1,20,815
2015,United-States Grand Prix,USA,Circuit of the Americas,1,3,20
2015,Mexican Grand Prix,Mexico,Autódromo Hermanos Rodríguez,3,1,822
2015,Brazilian Grand Prix,Brazil,Autódromo José Carlos Pace,3,1,20
2015,Abu-Dhabi Grand Prix,UAE,Yas Marina Circuit,3,1,8
2016,Australian Grand Prix,Australia,Albert-Park,3,1,20
2016,Bahrain Grand Prix,Bahrain,Bahrain,3,8,1
2016,Chinese Grand Prix,China,Shanghai,3,20,826
2016,Russian Grand Prix,Russia,Sochi Autodrom,3,1,8
2016,Spanish Grand Prix,Spain,Circuit de Barcelona-Catalunya,830,8,20
2016,Monaco Grand Prix,Monaco,Circuit de Monaco,1,817,815
2016,Canadian Grand Prix,Canada,Circuit Gilles Villeneuve,1,20,822
2016,European Grand Prix,Azerbaijan,Baku City Circuit,3,20,815
2016,Austrian Grand Prix,Austria,Red Bull Ring,1,830,8
2016,British Grand Prix,UK,Silverstone Circuit,1,830,3
2016,Hungarian Grand Prix,Hungary,Hungaroring,1,3,817
2016,German Grand Prix,Germany,Hockenheimring,1,817,830
2016,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,3,817,1
2016,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,3,1,20
2016,Singapore Grand Prix,Singapore,Marina Bay Street Circuit,3,817,1
2016,Malaysian Grand Prix,Malaysia,Sepang,817,830,3
2016,Japanese Grand Prix,Japan,Suzuka Circuit,3,830,1
2016,United-States Grand Prix,USA,Circuit of the Americas,1,3,817
2016,Mexican Grand Prix,Mexico,Autódromo Hermanos Rodríguez,1,3,817
2016,Brazilian Grand Prix,Brazil,Autódromo José Carlos Pace,1,3,830
2016,Abu-Dhabi Grand Prix,UAE,Yas Marina Circuit,1,3,20
2017,Australian Grand Prix,Australia,Albert-Park,20,1,822
2017,Chinese Grand Prix,China,Shanghai,1,20,830
2017,Bahrain Grand Prix,Bahrain,Bahrain,20,1,822
2017,Russian Grand Prix,Russia,Sochi Autodrom,822,20,8
2017,Spanish Grand Prix,Spain,Circuit de Barcelona-Catalunya,1,20,817
2017,Monaco Grand Prix,Monaco,Circuit de Monaco,20,8,817
2017,Canadian Grand Prix,Canada,Circuit Gilles Villeneuve,1,822,817
2017,Azerbaijan Grand Prix,Azerbaijan,Baku City Circuit,817,822,840
2017,Austrian Grand Prix,Austria,Red Bull Ring,822,20,817
2017,British Grand Prix,UK,Silverstone Circuit,1,822,8
2017,Hungarian Grand Prix,Hungary,Hungaroring,20,8,822
2017,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,1,20,817
2017,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,1,822,20
2017,Singapore Grand Prix,Singapore,Marina Bay Street Circuit,1,817,822
2017,Malaysian Grand Prix,Malaysia,Sepang,830,1,817
2017,Japanese Grand Prix,Japan,Suzuka Circuit,1,830,817
2017,United-States Grand Prix,USA,Circuit of the Americas,1,20,8
2017,Mexican Grand Prix,Mexico,Autódromo Hermanos Rodríguez,830,822,8
2017,Brazilian Grand Prix,Brazil,Autódromo José Carlos Pace,20,822,8
2017,Abu-Dhabi Grand Prix,UAE,Yas Marina Circuit,822,1,20
2018,Australian Grand Prix,Australia,Albert-Park,20,1,8
2018,Bahrain Grand Prix,Bahrain,Bahrain,20,822,1
2018,Chinese Grand Prix,China,Shanghai,817,822,8
2018,Azerbaijan Grand Prix,Azerbaijan,Baku City Circuit,1,8,815
2018,Spanish Grand Prix,Spain,Circuit de Barcelona-Catalunya,1,822,830
2018,Monaco Grand Prix,Monaco,Circuit de Monaco,817,20,1
2018,Canadian Grand Prix,Canada,Circuit Gilles Villeneuve,20,822,830
2018,French Grand Prix,France,Circuit Paul Ricard,1,830,8
2018,Austrian Grand Prix,Austria,Red Bull Ring,830,8,20
2018,British Grand Prix,UK,Silverstone Circuit,20,1,8
2018,German Grand Prix,Germany,Hockenheimring,1,822,8
2018,Hungarian Grand Prix,Hungary,Hungaroring,1,20,8
2018,Belgian Grand Prix,Belgium,Circuit de Spa-Francorchamps,20,1,830
2018,Italian Grand Prix,Italy,Autodromo Nazionale di Monza,1,8,822
2018,Singapore Grand Prix,Singapore,Marina Bay Street Circuit,1,830,20
2018,Russian Grand Prix,Russia,Sochi Autodrom,1,822,20
2018,Japanese Grand Prix,Japan,Suzuka Circuit,1,822,830
2018,United-States Grand Prix,USA,Circuit of the Americas,8,822,1
2018,Mexican Grand Prix,Mexico,Autódromo Hermanos Rodríguez,822,20,8
2018,Brazilian Grand Prix,Brazil,Autódromo José Carlos Pace,1,822,8
2018,Abu-Dhabi Grand Prix,UAE,Yas Marina Circuit,1,822,20